,author_ID,Gender,Repo_name,Commit_datetime,Commit_message,Added,Deleted,Modified,Removed,Day,MSG_LEN,Tag,Message,Tag_type,Message_Type,tagMessageAccuracy,Commit_Type,Commit_Type_2,Project_Type,team_info,count_of_females,count_of_males,predicted_tags
22740,fjxqzfuipg,F,csc216-T-P2-07,2020-10-29 16:30:27,Merge branch 'main' of https://github.ncsu.edu/engr-csc216-fall2020/csc216-T-P2-07 into main ,25.0,0.0,23.0,0.0,3,93.0,Untagged,Merge branch 'main' of https://github.ncsu.edu/engr-csc216-fall2020/csc216-T-P2-07 into main ,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[implementation]
22739,fjxqzfuipg,F,csc216-T-P2-07,2020-10-29 17:10:14,[Debug] Fixed sorting issue in SortedList.add(),25.0,0.0,23.0,0.0,3,47.0,DEBUG, Fixed sorting issue in SortedList.add(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22738,fjxqzfuipg,F,csc216-T-P2-07,2020-10-29 21:23:43,[Debug] [Test] Fixed errors in HLOJDataReader class; Created tests for HLOJDataReader class; Fixed errors in CustomerManager and OrderManager by replacing    with .equals() for comparing objects,22.0,0.0,19.0,0.0,3,194.0,DEBUG,  Fixed errors in HLOJDataReader class; Created tests for HLOJDataReader class; Fixed errors in CustomerManager and OrderManager by replacing    with .equals() for comparing objects,Implementation,ImplementationTesting,True,ImplementationTesting,debugging,Team P2,mixed,1,1,[debugging]
22737,fjxqzfuipg,F,csc216-T-P2-07,2020-10-29 22:02:52,[Debug] Removed println() statements used for testing; Added missing close statements for Scanners in HLOJDataReader class,22.0,0.0,19.0,0.0,3,122.0,DEBUG, Removed println() statements used for testing; Added missing close statements for Scanners in HLOJDataReader class,Implementation,Testing,False,ImplementationTesting,debugging,Team P2,mixed,1,1,[test]
22736,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 20:00:38,[Debug] Attempting to fix compareTo() method in MenuItem class,2.0,0.0,12.0,0.0,6,62.0,DEBUG, Attempting to fix compareTo() method in MenuItem class,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22735,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 20:21:56,"[Debug] Fixed error in MenuItem.compareTo() by adding ""toLowerCase()"" to the name comparison statements",2.0,0.0,12.0,0.0,6,103.0,DEBUG," Fixed error in MenuItem.compareTo() by adding ""toLowerCase()"" to the name comparison statements",Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22734,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 20:29:06,[Debug] Attempting to fix MenuItem.compareTo() test failures,2.0,0.0,11.0,0.0,6,60.0,DEBUG, Attempting to fix MenuItem.compareTo() test failures,Implementation,ImplementationTesting,True,ImplementationTesting,debugging,Team P2,mixed,1,1,[debugging]
22733,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 20:47:53,[Debug] Added check in SortedList that checks for when two elements are equal and adds the newer element to after the compared element,2.0,0.0,11.0,0.0,6,134.0,DEBUG, Added check in SortedList that checks for when two elements are equal and adds the newer element to after the compared element,Implementation,Misc,False,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22732,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 20:52:58,[Debug] Added check for a non-existent element in Order.removeMenuItem(),2.0,0.0,11.0,0.0,6,72.0,DEBUG, Added check for a non-existent element in Order.removeMenuItem(),Implementation,Misc,False,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22730,fjxqzfuipg,F,csc216-T-P2-07,2020-11-01 21:04:52,[Debug] Attempting to fix bug in Order.getOrderItemIndexForMenuItem(),2.0,0.0,11.0,0.0,6,69.0,DEBUG, Attempting to fix bug in Order.getOrderItemIndexForMenuItem(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22711,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 00:19:49,[Debug] Attempting to fix sorting error in SortedList.add(),2.0,0.0,10.0,0.0,0,59.0,DEBUG, Attempting to fix sorting error in SortedList.add(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
34023,j7jswfg0mj,M,csc216-T-P2-07,2020-10-29 22:26:05,[Testing] fixed pmd violations in tests,21.0,0.0,19.0,0.0,3,39.0,TESTING, fixed pmd violations in tests,Testing,ImplementationTestingStyling,True,ImplementationTestingStyling,test,Team P2,mixed,1,1,[test]
22749,fjxqzfuipg,F,csc216-T-P2-07,2020-10-26 02:54:43,[Implementation] Updated OrderItem.compareTo() to delegate to MenuItem.compareTo(),25.0,0.0,23.0,0.0,0,82.0,IMPLEMENTATION, Updated OrderItem.compareTo() to delegate to MenuItem.compareTo(),Implementation,Misc,False,Implementation,implementation,Team P2,mixed,1,1,[implementation]
22702,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 02:18:30,[Debug] Fixed OrderManagerTest class tests to use fixed functionality in OrderManager class,2.0,0.0,9.0,0.0,0,91.0,DEBUG, Fixed OrderManagerTest class tests to use fixed functionality in OrderManager class,Implementation,ImplementationTesting,True,ImplementationTesting,debugging,Team P2,mixed,1,1,[debugging]
22701,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 02:20:07,[Debug] Fixing errors in OrderManager class,2.0,0.0,9.0,0.0,0,43.0,DEBUG, Fixing errors in OrderManager class,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22700,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 02:26:30,[Debug] Fixed OrderManagerTest class tests to use fixed functionality in OrderManager class,2.0,0.0,8.0,0.0,0,91.0,DEBUG, Fixed OrderManagerTest class tests to use fixed functionality in OrderManager class,Implementation,ImplementationTesting,True,ImplementationTesting,debugging,Team P2,mixed,1,1,[debugging]
22699,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 02:32:57,[Debug] Fixing IndexOutOfBoundsException error in Order.removeMenuItem(),2.0,0.0,8.0,0.0,0,72.0,DEBUG, Fixing IndexOutOfBoundsException error in Order.removeMenuItem(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22698,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 02:34:50,[Debug] Fixing IndexOutOfBoundsException error in Order.removeMenuItem(),2.0,0.0,7.0,0.0,0,72.0,DEBUG, Fixing IndexOutOfBoundsException error in Order.removeMenuItem(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22697,fjxqzfuipg,F,csc216-T-P2-07,2020-11-03 00:05:37,[Debug] Fixed errors in HLOJDataWriter class that prevented the entire file from being read; Updated HLOJDataWriterTest class to test a file containing Customers; MenuItems; and Orders,2.0,0.0,5.0,0.0,1,184.0,DEBUG, Fixed errors in HLOJDataWriter class that prevented the entire file from being read; Updated HLOJDataWriterTest class to test a file containing Customers; MenuItems; and Orders,Implementation,ImplementationTesting,True,ImplementationTesting,debugging,Team P2,mixed,1,1,[debugging]
22696,fjxqzfuipg,F,csc216-T-P2-07,2020-11-03 00:06:58,[Test] Uploading test files,0.0,0.0,6.0,0.0,1,27.0,TEST, Uploading test files,Testing,Testing,True,Testing,test,Team P2,mixed,1,1,[test]
22695,fjxqzfuipg,F,csc216-T-P2-07,2020-11-03 00:10:58,[Debug] Fixing MenuItem print error when printing out Orders,0.0,0.0,6.0,0.0,1,60.0,DEBUG, Fixing MenuItem print error when printing out Orders,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22694,fjxqzfuipg,F,csc216-T-P2-07,2020-11-03 00:18:14,[Debug] Fixing MenuItem print error when printing out Orders,0.0,0.0,6.0,0.0,1,60.0,DEBUG, Fixing MenuItem print error when printing out Orders,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22693,fjxqzfuipg,F,csc216-T-P2-07,2020-11-03 00:25:53,[Debug] Fixing MenuItem print error when printing out Orders,0.0,0.0,6.0,0.0,1,60.0,DEBUG, Fixing MenuItem print error when printing out Orders,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22692,fjxqzfuipg,F,csc216-T-P2-07,2020-11-03 00:50:11,[Debug] Fixing MenuItem print error when printing out Orders,0.0,0.0,5.0,0.0,1,60.0,DEBUG, Fixing MenuItem print error when printing out Orders,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22691,fjxqzfuipg,F,csc216-T-P2-07,2020-11-03 00:50:30,[Test] Uploading test files,0.0,0.0,3.0,0.0,1,27.0,TEST, Uploading test files,Testing,Testing,True,Testing,test,Team P2,mixed,1,1,[test]
22690,fjxqzfuipg,F,csc216-T-P2-07,2020-11-03 01:22:29,[Implementation] [Debug] Adding invalid file functionality to HLOJDataReader class,0.0,0.0,3.0,0.0,1,82.0,IMPLEMENTATION,  Adding invalid file functionality to HLOJDataReader class,Implementation,Misc,False,Implementation,implementation,Team P2,mixed,1,1,[implementation]
22689,fjxqzfuipg,F,csc216-T-P2-07,2020-11-03 01:23:56,Merge branch 'main' of https://github.ncsu.edu/engr-csc216-fall2020/csc216-T-P2-07 into main ,0.0,0.0,2.0,0.0,1,93.0,Untagged,Merge branch 'main' of https://github.ncsu.edu/engr-csc216-fall2020/csc216-T-P2-07 into main ,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[implementation]
22688,fjxqzfuipg,F,csc216-T-P2-07,2020-11-03 01:24:49,[Implementation] [Debug] Added invalid file functionality to HLOJDataReader class,0.0,0.0,0.0,0.0,1,81.0,IMPLEMENTATION,  Added invalid file functionality to HLOJDataReader class,Implementation,Misc,False,Implementation,implementation,Team P2,mixed,1,1,[implementation]
22703,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 01:51:59,[Debug] Fixed logic contained in OrderManager.getNextOrder() to create and return a new order for the given Customer,2.0,0.0,9.0,0.0,0,116.0,DEBUG, Fixed logic contained in OrderManager.getNextOrder() to create and return a new order for the given Customer,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22704,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 01:31:22,[Debug] Added fail() statements to OrderManagerTest class so that not all tests would pass when an exception is caught,2.0,0.0,9.0,0.0,0,118.0,DEBUG, Added fail() statements to OrderManagerTest class so that not all tests would pass when an exception is caught,Implementation,ImplementationTesting,True,ImplementationTesting,debugging,Team P2,mixed,1,1,[debugging]
22705,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 01:13:49,[Debug] Attempting to fix NullPointerException errors in OrderManager class,2.0,0.0,9.0,0.0,0,75.0,DEBUG, Attempting to fix NullPointerException errors in OrderManager class,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22706,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 00:59:32,[Debug] Attempting to fix NullPointerException errors in OrderManager class,2.0,0.0,9.0,0.0,0,75.0,DEBUG, Attempting to fix NullPointerException errors in OrderManager class,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
33969,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 17:51:41,push after github went down,2.0,0.0,5.0,0.0,0,27.0,Untagged,push after github went down,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[test]
33968,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 17:56:51,Fixed local reader test assertions,2.0,0.0,5.0,0.0,0,34.0,Untagged,Fixed local reader test assertions,Untagged,ImplementationTesting,Untagged,ImplementationTesting,untagged,Team P2,mixed,1,1,[test]
33967,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 18:00:01,changing for loop variable in writer to be within range,2.0,0.0,5.0,0.0,0,55.0,Untagged,changing for loop variable in writer to be within range,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[implementation]
33966,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 18:01:44,making sure variable for for loops is within index,2.0,0.0,5.0,0.0,0,50.0,Untagged,making sure variable for for loops is within index,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[test]
33965,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 18:03:01,changing indentifier.get(i) to k,2.0,0.0,5.0,0.0,0,32.0,Untagged,changing indentifier.get(i) to k,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[implementation]
33964,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 18:04:11,revert to previous build,2.0,0.0,5.0,0.0,0,24.0,Untagged,revert to previous build,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[implementation]
33963,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 18:13:03,[testing] check for invalid file 10 and 11 if numberScanner has a next line,2.0,0.0,5.0,0.0,0,75.0,TESTING, check for invalid file 10 and 11 if numberScanner has a next line,Testing,Misc,False,Testing,test,Team P2,mixed,1,1,[test]
33971,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 17:23:16,if order.getCustomer() does not equal null; add the order,2.0,0.0,5.0,0.0,0,57.0,Untagged,if order.getCustomer() does not equal null; add the order,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[test]
33962,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 18:14:37,revert to previous build without invalid 10 and 11 checks,2.0,0.0,5.0,0.0,0,57.0,Untagged,revert to previous build without invalid 10 and 11 checks,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[implementation]
33960,j7jswfg0mj,M,csc216-T-P2-07,2020-11-03 01:00:07,removed unused import,0.0,0.0,3.0,0.0,1,21.0,Untagged,removed unused import,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[test]
33959,j7jswfg0mj,M,csc216-T-P2-07,2020-11-03 01:02:42,removed useless parentheses,0.0,0.0,2.0,0.0,1,27.0,Untagged,removed useless parentheses,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[test]
33958,j7jswfg0mj,M,csc216-T-P2-07,2020-11-03 14:05:17,[Javadoc] Generated Javadoc and fixed some Javadoc comments,0.0,123.0,1.0,0.0,1,59.0,JAVADOC, Generated Javadoc and fixed some Javadoc comments,Documentation,DocumentationImplementationStyling,True,DocumentationImplementationStyling,documentation,Team P2,mixed,1,1,[documentation]
22710,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 00:31:29,[Debug] Attempting to fix sorting error in SortedList.add(),2.0,0.0,10.0,0.0,0,59.0,DEBUG, Attempting to fix sorting error in SortedList.add(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22709,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 00:43:36,[Debug] Attempting to fix sorting error in SortedList.add(),2.0,0.0,10.0,0.0,0,59.0,DEBUG, Attempting to fix sorting error in SortedList.add(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22708,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 00:48:37,[Debug] Attempting to fix sorting error in SortedList.add(),2.0,0.0,9.0,0.0,0,59.0,DEBUG, Attempting to fix sorting error in SortedList.add(),Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
22707,fjxqzfuipg,F,csc216-T-P2-07,2020-11-02 00:55:55,[Debug] Attempting to fix NullPointerException errors in OrderManager class,2.0,0.0,9.0,0.0,0,75.0,DEBUG, Attempting to fix NullPointerException errors in OrderManager class,Implementation,Implementation,True,Implementation,debugging,Team P2,mixed,1,1,[debugging]
33961,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 18:22:15,removed unreachable NullPointerException catch block,2.0,0.0,5.0,0.0,0,52.0,Untagged,removed unreachable NullPointerException catch block,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[test]
22750,fjxqzfuipg,F,csc216-T-P2-07,2020-10-26 02:52:07,[Implementation] Finished implementing OrderItem class,25.0,0.0,24.0,0.0,0,54.0,IMPLEMENTATION, Finished implementing OrderItem class,Implementation,Implementation,True,Implementation,implementation,Team P2,mixed,1,1,[implementation]
33970,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 17:23:57,push failed last time,2.0,0.0,6.0,0.0,0,21.0,Untagged,push failed last time,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[implementation]
22752,fjxqzfuipg,F,csc216-T-P2-07,2020-10-26 02:24:32,[Implementation] Finished implementing Customer class,25.0,0.0,24.0,0.0,0,53.0,IMPLEMENTATION, Finished implementing Customer class,Implementation,Implementation,True,Implementation,implementation,Team P2,mixed,1,1,[implementation]
22761,fjxqzfuipg,F,csc216-T-P2-07,2020-10-20 03:36:46,[Implementation] Updated exception messages to match those in the design description,46.0,0.0,6.0,0.0,1,84.0,IMPLEMENTATION, Updated exception messages to match those in the design description,Implementation,Design,False,ImplementationDesign,implementation,Team P2,mixed,1,1,[implementation]
22760,fjxqzfuipg,F,csc216-T-P2-07,2020-10-21 18:10:20,[Skeleton] Created skeletons for the SortedList and UniqueList classes,44.0,0.0,8.0,0.0,2,70.0,SKELETON, Created skeletons for the SortedList and UniqueList classes,Misc,Misc,True,Misc,skeleton,Team P2,mixed,1,1,[skeleton]
34003,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 15:25:37,[Testing] invalid file 9,2.0,0.0,6.0,0.0,0,24.0,TESTING, invalid file 9,Testing,Misc,False,Testing,test,Team P2,mixed,1,1,[test]
34002,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 15:27:58,[Testing] replaced break; with continue; in reader class,2.0,0.0,6.0,0.0,0,56.0,TESTING, replaced break; with continue; in reader class,Testing,Misc,False,Testing,test,Team P2,mixed,1,1,[test]
34001,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 15:30:28,[testing] fixed invalid test 5,2.0,0.0,6.0,0.0,0,30.0,TESTING, fixed invalid test 5,Testing,ImplementationTesting,True,ImplementationTesting,test,Team P2,mixed,1,1,[test]
34000,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 15:35:46,added null checks to Customer.java,2.0,0.0,7.0,0.0,0,34.0,Untagged,added null checks to Customer.java,Untagged,Misc,Untagged,Misc,untagged,Team P2,mixed,1,1,[implementation]
33999,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 15:43:06,[testing] invalid file 7,2.0,0.0,7.0,0.0,0,24.0,TESTING, invalid file 7,Testing,Misc,False,Testing,test,Team P2,mixed,1,1,[test]
33998,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 15:57:31,[implementation] added menuItem counter in reader for 3 items per order,2.0,0.0,7.0,0.0,0,71.0,IMPLEMENTATION, added menuItem counter in reader for 3 items per order,Implementation,Misc,False,Implementation,implementation,Team P2,mixed,1,1,[implementation]
33997,j7jswfg0mj,M,csc216-T-P2-07,2020-11-02 15:59:02,revert to previous build due to valid test file failure,2.0,0.0,7.0,0.0,0,55.0,Untagged,revert to previous build due to valid test file failure,Untagged,Testing,Untagged,Testing,untagged,Team P2,mixed,1,1,[test]
